[0803/125801.724:INFO:CONSOLE(134)] "[Report Only] This document requires 'TrustedScriptURL' assignment.", source: https://www.google.com/intl/vi/gmail/about/ (134)
[0803/125806.701:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-ua-form-factor'.", source:  (0)
[0803/125806.950:INFO:CONSOLE(1355)] "Deprecated API for given entry type.", source: https://mail.google.com/_/scs/mail-static/_/js/k=gmail.main.vi.UoUgKmX9XIo.es5.O/am=DhgAAOi_H_4SHjsQRBAgIvt14G-hJxiBOcIBA0EEEICAAj8mNarr3QiVPvyABAAE4Gg4KuYYB2DXODQsSZQBYAIAAAAAAAAAAAAAAAAAAABcSQE/d=1/exm=b/ed=1/im=1/dg=0/br=1/wt=1/rs=AHGWq9AlTaqHQvVORGFG7mTyK9AW1zPM8g/cb=loaded_1/m=a (1355)
[0803/125807.122:INFO:CONSOLE(3398)] "Unrecognized feature: 'attribution-reporting'.", source: https://mail.google.com/_/scs/mail-static/_/js/k=gmail.main.vi.UoUgKmX9XIo.es5.O/am=DhgAAOi_H_4SHjsQRBAgIvt14G-hJxiBOcIBA0EEEICAAj8mNarr3QiVPvyABAAE4Gg4KuYYB2DXODQsSZQBYAIAAAAAAAAAAAAAAAAAAABcSQE/d=1/exm=a,b/ed=1/im=1/dg=0/br=1/wt=1/rs=AHGWq9AlTaqHQvVORGFG7mTyK9AW1zPM8g/cb=loaded_2/m=m,m_i,i20jfd,lKrWxc,hkjXJ,gYOl6d,HXLjIb,DL8jZe,xaQcye,J41knb,oRmHt,E1P0kd,pE92lb,v2eEBc (3398)
[0803/125808.861:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-ua-form-factor'.", source:  (0)
[0803/125809.050:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-ua-form-factor'.", source:  (0)
[0803/125811.940:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-ua-form-factor'.", source:  (0)
[0803/125816.950:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-ua-form-factor'.", source:  (0)
[0803/125819.265:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\Dell\nghelen/tk\Default\IndexedDB\https_mail.google.com_0.indexeddb.leveldb,IO error: C:\Users\Dell\nghelen/tk\Default\IndexedDB\https_mail.google.com_0.indexeddb.leveldb/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[0803/125819.272:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\Dell\nghelen/tk\Default\IndexedDB\https_mail.google.com_0.indexeddb.leveldb,IO error: C:\Users\Dell\nghelen/tk\Default\IndexedDB\https_mail.google.com_0.indexeddb.leveldb/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
